account_id,customer_id,account_type,branch_id,open_date,current_balance_pkr,status,balance_flagged_negative
A500000,C100000,Savings,BR1023,2023-05-19,521096.21,ACTIVE,False
A500001,C100000,Savings,BR1019,2022-12-03,7517.74,ACTIVE,False
A500002,C100000,Savings,BR1025,2022-12-10,296198.32,ACTIVE,False
A500003,C100001,Current,BR1010,2024-01-08,562727.96,ACTIVE,False
A500004,C100001,Savings,BR1012,2023-05-31,225559.49,ACTIVE,False
A500005,C100002,Savings,BR1026,2025-05-21,293247.39,ACTIVE,False
A500006,C100003,Current,BR1025,2025-07-24,1723150.14,ACTIVE,False
A500007,C100004,Savings,BR1025,2024-10-31,367982.71,DORMANT,False
A500008,C100005,Term Deposit,BR1023,2023-06-06,866861.06,DORMANT,False
A500009,C100006,Savings,BR1021,2023-04-25,464247.45,ACTIVE,False
A500010,C100006,Current,BR1019,2023-10-28,852770.59,ACTIVE,False
A500011,C100006,Savings,BR1026,2023-03-01,178051.18,ACTIVE,False
A500012,C100007,Current,BR1014,2024-08-08,1106993.28,ACTIVE,False
A500013,C100008,Current,BR1006,2025-06-06,725128.63,ACTIVE,False
A500014,C100009,Savings,BR1027,2026-05-17,282499.36,ACTIVE,False
A500015,C100010,Savings,BR1003,2023-08-30,91014.22,ACTIVE,False
A500016,C100011,Savings,BR1003,2025-09-08,107763.37,CLOSED,False
A500017,C100012,Savings,BR1017,2022-06-14,572251.9,DORMANT,False
A500018,C100012,Savings,BR1021,2023-07-08,210122.81,ACTIVE,False
A500019,C100013,Current,BR1036,2023-04-07,1612032.11,ACTIVE,False
A500020,C100014,Current,BR1013,2026-01-17,2393023.6,ACTIVE,False
A500021,C100015,Term Deposit,BR1023,2024-03-10,2834297.61,DORMANT,False
A500022,C100015,Current,BR1014,2024-01-29,251019.29,ACTIVE,False
A500023,C100015,Savings,BR1002,2023-05-17,139932.59,ACTIVE,False
A500024,C100016,Savings,BR1005,2025-11-22,428350.05,ACTIVE,False
A500025,C100017,Savings,BR1003,2024-01-17,321138.42,ACTIVE,False
A500026,C100017,Savings,BR1019,2024-06-07,231288.61,ACTIVE,False
A500027,C100017,Current,BR1024,2023-11-14,320454.59,ACTIVE,False
A500028,C100018,Savings,BR1006,2024-09-27,403842.75,CLOSED,False
A500029,C100019,Savings,BR1015,2023-02-09,576053.05,ACTIVE,False
A500030,C100020,Savings,BR1029,2023-05-05,81322.44,ACTIVE,False
A500031,C100020,Savings,BR1014,2023-01-27,325046.8,ACTIVE,False
A500032,C100020,Savings,BR1035,2022-06-13,421551.73,ACTIVE,False
A500033,C100021,Savings,BR1020,2026-09-03,69323.02,ACTIVE,False
A500034,C100022,Savings,BR1033,2024-04-10,379534.0,ACTIVE,False
A500035,C100022,Savings,BR1016,2024-08-18,235983.93,ACTIVE,False
A500036,C100023,Term Deposit,BR1007,2025-06-01,7055111.34,ACTIVE,False
A500037,C100023,Term Deposit,BR1005,2025-06-24,2498443.21,DORMANT,False
A500038,C100024,Savings,BR1007,2025-04-26,100638.49,ACTIVE,False
A500039,C100024,Savings,BR1027,2025-04-19,233239.13,ACTIVE,False
A500040,C100025,Term Deposit,BR1031,2025-02-02,1828598.64,DORMANT,False
A500041,C100025,Savings,BR1029,2025-06-19,34377.09,CLOSED,False
A500042,C100026,Savings,BR1029,2024-03-19,260604.89,ACTIVE,False
A500043,C100026,Current,BR1007,2023-06-30,753268.67,DORMANT,False
A500044,C100027,Savings,BR1010,2026-06-13,59337.72,CLOSED,False
A500045,C100027,Current,BR1009,2026-05-18,536266.72,ACTIVE,False
A500046,C100028,Savings,BR1031,2023-08-27,50490.2,DORMANT,False
A500047,C100028,Savings,BR1011,2022-10-14,142277.39,ACTIVE,False
A500048,C100028,Current,BR1015,2023-09-23,95771.73,DORMANT,False
A500049,C100029,Savings,BR1026,2025-04-30,46377.8,ACTIVE,False
A500050,C100029,Savings,BR1003,2025-07-27,132283.1,ACTIVE,False
A500051,C100029,Savings,BR1008,2025-05-09,631493.14,ACTIVE,False
A500052,C100030,Term Deposit,BR1028,2024-11-28,1525983.15,DORMANT,False
A500053,C100031,Savings,BR1005,2024-08-12,87446.93,ACTIVE,False
A500054,C100032,Savings,BR1012,2026-04-01,532422.4,ACTIVE,False
A500055,C100033,Savings,BR1020,2022-08-07,188920.71,ACTIVE,False
A500056,C100034,Savings,BR1034,2023-04-07,46345.35,ACTIVE,False
A500057,C100035,Current,BR1018,2025-02-11,911007.77,ACTIVE,False
A500058,C100036,Savings,BR1031,2025-10-12,327376.16,ACTIVE,False
