customer_id,full_name,gender,city,occupation,province,date_of_birth,monthly_income_pkr,onboard_date,credit_score
C101726,Bilal Khan,M,Dera Ismail khan,Salaried - Private,Khyber Pakhtunkhwa,1988-02-05,143800.0,01/09/2023,742.0
C104856,Kamran Hussain,F,LHR,Salaried - Private,Punjab,1988-08-18,87700.0,2023-02-28,568.0
C107883,Adnan Malik,F,Karachi,Salaried - Private,Sindh,2007-06-27,120100.0,2023-08-20,592.0
C105215,Tariq Butt,M,PESHAWAR,Business Owner,Khyber Pakhtunkhwa,1990-06-05,272800.0,12/07/2023,643.0
C101143,Hina Khan,M,peshawar,Business Owner,Khyber Pakhtunkhwa,1990-01-23,295600.0,08/02/2025,678.0
C103549,Adnan Khan,M,Faisalabad,Salaried - Private,Punjab,1992-01-07,122800.0,2024-12-07,622.0
C108667,Ahmed Shaikh,F,KARACHI,Salaried - Government,Sindh,1983-08-09,105100.0,2025-07-01,691.0
C105959,Nida Malik,F,Lahore,Salaried - Government,Punjab,1992-09-07,53500.0,2022-11-08,570.0
C107757,Zara Malik,M,Rawalpindi,Salaried - Private,Punjab,1967-12-22,114400.0,30/09/2024,621.0
C103512,Kamran Qureshi,F,Lahore,Business Owner,Punjab,1979-08-04,177400.0,13/08/2024,586.0
C101577,Sadia Gul,F,KARACHI,Salaried - Government,Sindh,1985-08-22,228400.0,2023-01-21,766.0
C103292,Usman Raza,M,Quetta,Salaried - Private,Balochistan,1990-01-06,136800.0,29/06/2025,698.0
C100243,Maryam Ansari,M,Lahore ,Salaried - Government,Punjab,1985-08-07,49000.0,28/06/2024,632.0
C108179,Fahad Ansari,F,Peshawar,Student,Khyber Pakhtunkhwa,1976-03-04,20400.0,2023-05-10,900.0
C104176,Bilal Shaikh,F,Lahore,Business Owner,Punjab,1979-08-02,303600.0,2022-08-07,854.0
C109589,Komal Baloch,M,Karachi,Retired,Sindh,1976-02-11,59800.0,2024-09-23,640.0
